"headword1","headword2","headword3","headword","base","base1","mng","mng1","equiv","equiv1","{ePSD2}",,,
"a","[bird-cry]","N","a[bird-cry]N","a","a","a bird-cry","a bird-cry","–","–","{ePSD2}",,,
"a","[arm]","N","a[arm]N","a₂, {ŋeš}a₂, {kuš}a₂, a, {+a}a₂, {urud}a₂, an, an-na, a₂{+a}, e, {na₄}a₂","a₂<br><sup>ŋeš</sup>a₂<br><sup>kuš</sup>a₂<br>a<br><sup>+a</sup>a₂<br><sup>urud</sup>a₂<br>an<br>an-na<br>a₂<sup>+a</sup><br>e<br><sup>na₄</sup>a₂","arm, plow handle, side, wing, horn, strength, power, wage, wages, rent, strap, part of a scale, weapon, work","arm<br>plow handle<br>side<br>wing<br>horn<br>strength<br>power<br>wage<br>wages<br>rent<br>strap<br>part of a scale<br>weapon<br>work","ahu, idu","aḫu<br>idu","{ePSD2}",,,
"a","[time]","N","a[time]N","a₂","a₂","time","time","–","–","{ePSD2}",,,
"a","[water]","N","a[water]N","a, e, e₂, a₂, a-a, a{+e₂}, en, ga, u","a<br>e<br>e₂<br>a₂<br>a-a<br>a<sup>+e₂</sup><br>en<br>ga<br>u","water, watercourse, semen, sperm, progeny, flood, son","water<br>watercourse<br>semen<br>sperm<br>progeny<br>flood<br>son","mû, rihûtu, butuqtu","mû<br>riḫûtu<br>butuqtu","{ePSD2}",,,
"a aŋ","[command]","V/t","a aŋ[command]V/t","a₂ %sux:aŋ₂, a %sux:aŋ₂","a₂ aŋ₂<br>a aŋ₂","to command, to instruct","to command<br>to instruct","(w)uʾuru","(w)uʾuru","{ePSD2}",,,
"a bad","[spread]","V/t","a bad[spread]V/t","a₂ %sux:bad, a %sux:bad, a₂ %sux:bad-bad","a₂ bad<br>a bad<br>a₂ bad-bad","'to spread the arms'","'to spread the arms'","?","?","{ePSD2}",,,
"a bal","[bail]","V/t","a bal[bail]V/t","a %sux:bal-bal, a %sux:bala","a bal-bal<br>a bala","to bail out (water)","to bail out (water)","–","–","{ePSD2}",,,
"a bala","[hire]","V/t","a bala[hire]V/t","a₂ %sux:bala, a₂ %sux:bala-bala, a %sux:bala, a %sux:bala-bala","a₂ bala<br>a₂ bala-bala<br>a bala<br>a bala-bala","to hire","to hire","???","???","{ePSD2}",,,
"a bala","[pour out water]","V/t","a bala[pour out water]V/t","a %sux:bala, a %sux:bala-bala, a₂ %sux:bala","a bala<br>a bala-bala<br>a₂ bala","to pour out water, to draw water, to cook (meat) in water","to pour out water<br>to draw water<br>to cook (meat) in water","–","–","{ePSD2}",,,
"a dar","[confiscate]","V/t","a dar[confiscate]V/t","a₂ %sux:dar","a₂ dar","to confiscate, seize illegally, to sequester, to take hold of","to confiscate<br>seize illegally<br>to sequester<br>to take hold of","dâṣu","dâṣu","{ePSD2}",,,
"a de","[irrigate]","V/t","a de[irrigate]V/t","a %sux:de₂, a %sux:de₂-de₂, e %sux:de, a₂ %sux:de₆","a de₂<br>a de₂-de₂<br>e de<br>a₂ de₆","to irrigate (by flooding)","to irrigate (by flooding)","šaqû ša eqli","šaqû ša eqli","{ePSD2}",,,
"a dub","[flutter]","V/t","a dub[flutter]V/t","a₂ %sux:dub₂-dub₂, a %sux:dub, a₂ %sux:dub₂","a₂ dub₂-dub₂<br>a dub<br>a₂ dub₂","to flutter the wings","to flutter the wings","šâhu ša iṣṣuri","šâḫu ša iṣṣuri","{ePSD2}",,,
